title
"Wall Hours: Per Job: by Node Count"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[12] Wall Hours: Per Job","[28] Wall Hours: Per Job","[5] Wall Hours: Per Job","[6] Wall Hours: Per Job","[7] Wall Hours: Per Job","[8] Wall Hours: Per Job","[14] Wall Hours: Per Job","[2] Wall Hours: Per Job","[20] Wall Hours: Per Job","[3] Wall Hours: Per Job","[4] Wall Hours: Per Job","[1] Wall Hours: Per Job","[9] Wall Hours: Per Job","[16] Wall Hours: Per Job","[24] Wall Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,0,0,0,0,16.84402778,0,0,0
2016-12-23,0,0,0,0,0,0,0,0,0,0,0,18.86787037,0,0,0
2016-12-24,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0
2016-12-25,0,0,0,0,0,0,0,0,0,0,0,13.41796296,0,0,0
2016-12-26,0,0,0,0,0,0,0,0,0,0,0,14.32007576,0,0,0
2016-12-27,20.81333333,0,0,20.66416667,0,10.68791667,0,20.33875000,0,0,0,12.03750000,0,0,0
2016-12-28,18.58515432,0,0,18.38902778,17.50194444,15.77854167,0,9.92384921,0,0,8.32935185,9.72248854,0,0,0
2016-12-29,23.99990741,0,13.21986111,14.31669753,7.73544444,21.50333333,1.92694444,22.44015152,6.48861111,0,17.00460317,11.48050746,0,0,0
2016-12-30,18.84717172,20.80111111,9.85427778,18.73480556,11.80487654,10.17187135,9.11736111,2.09238591,2.51777778,0,2.98221545,1.44640132,0.26055556,0.08611111,0.02138889
2016-12-31,9.51947222,16.96916667,18.75435185,9.04138889,7.16772222,8.78508041,0,7.69451111,0,3.89511111,6.69222222,1.40446703,0,0.03000000,0
2017-01-01,0,0,10.82180556,2.55680556,0,2.20601641,0,1.28255772,0.02166667,3.37105556,0.52585648,1.00730848,0,0.03652778,0
---------
