title
"Wall Hours: Total: by Node Count"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[1] Wall Hours: Total","[8] Wall Hours: Total","[2] Wall Hours: Total","[12] Wall Hours: Total","[6] Wall Hours: Total","[4] Wall Hours: Total","[7] Wall Hours: Total","[5] Wall Hours: Total","[28] Wall Hours: Total","[3] Wall Hours: Total","[14] Wall Hours: Total","[20] Wall Hours: Total","[16] Wall Hours: Total","[9] Wall Hours: Total","[24] Wall Hours: Total"
2016-12-22,33.6881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-23,56.6036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-24,72.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,80.5078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-26,157.5208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-27,409.2750,42.7517,40.6775,20.8133,20.6642,0,0,0,0,0,0,0,0,0,0
2016-12-28,4005.6653,252.4567,69.4669,167.2664,36.7781,24.9881,17.5019,0,0,0,0,0,0,0,0
2016-12-29,19160.9669,559.0867,246.8417,215.9992,128.8503,119.0322,38.6772,26.4397,0,0,1.9269,6.4886,0,0,0
2016-12-30,41450.9689,579.7967,117.1736,207.3189,187.3481,122.2708,106.2439,49.2714,20.8011,0,18.2347,2.5178,0.1722,0.2606,0.0214
2016-12-31,41424.7550,333.8331,192.3628,95.1947,54.2483,93.6911,35.8386,56.2631,16.9692,19.4756,0,0,0.0300,0,0
2017-01-01,16498.7056,97.0647,98.7569,0,20.4544,25.2411,0,21.6436,0,16.8553,0,0.0217,0.0731,0,0
---------
