title
"CPU Hours: Per Job: by Resource"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[robertson] CPU Hours: Per Job","[frearson] CPU Hours: Per Job","[pozidriv] CPU Hours: Per Job","[phillips] CPU Hours: Per Job","[mortorq] CPU Hours: Per Job"
2016-12-22,0,0,203.29970000,200.95640000,0
2016-12-23,0,0,148.30150000,287.99970000,0
2016-12-24,0,0,155.99970000,287.99970000,0
2016-12-25,0,0,98.05384000,287.99970000,0
2016-12-26,0,0,350.39916000,287.99970000,43.26650000
2016-12-27,490.54088182,136.79500000,181.10167500,265.59070000,383.99866000
2016-12-28,105.79200743,2985.13561000,304.01864118,911.99805000,141.45531176
2016-12-29,77.28987622,442.98224842,89.17077614,911.99805000,71.67300496
2016-12-30,24.31016952,18.39092000,4.48561269,1.82046104,2.20631655
2016-12-31,21.24981326,7.44340017,5.16446476,1.01313934,3.08276439
2017-01-01,7.22704017,2.33995244,3.84811579,3.63382480,1.79785503
---------
