title
"Node Hours: Per Job: by Node Count"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[28] Node Hours: Per Job","[12] Node Hours: Per Job","[14] Node Hours: Per Job","[8] Node Hours: Per Job","[6] Node Hours: Per Job","[7] Node Hours: Per Job","[5] Node Hours: Per Job","[20] Node Hours: Per Job","[4] Node Hours: Per Job","[3] Node Hours: Per Job","[2] Node Hours: Per Job","[9] Node Hours: Per Job","[1] Node Hours: Per Job","[16] Node Hours: Per Job","[24] Node Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,0,0,0,0,0,16.84405000,0,0
2016-12-23,0,0,0,0,0,0,0,0,0,0,0,0,18.86786667,0,0
2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0
2016-12-25,0,0,0,0,0,0,0,0,0,0,0,0,13.41796667,0,0
2016-12-26,0,0,0,0,0,0,0,0,0,0,0,0,14.32007273,0,0
2016-12-27,0,249.75920000,0,85.50362500,123.98440000,0,0,0,0,0,40.67765000,0,12.03750294,0,0
2016-12-28,0,223.02173333,0,126.22824375,110.33375000,122.51310000,0,0,33.31750000,0,19.84765714,0,9.72248883,0,0
2016-12-29,0,287.99888889,26.97690000,172.02665385,85.89998889,54.14832000,66.09945000,129.77390000,68.01841429,0,44.88028182,0,11.48050731,0,0
2016-12-30,582.43470000,226.16603636,127.64320000,81.37496842,112.40875000,82.63387778,49.27116000,50.35390000,11.92885610,0,4.18476607,2.34500000,1.44640131,1.37780000,0.51330000
2016-12-31,475.13310000,114.23389000,0,70.28059211,54.24805000,50.17400000,93.77166667,0,26.76885000,11.68538000,15.38902000,0,1.40446701,0.48000000,0
2017-01-01,0,0,0,17.64813864,15.34087500,0,54.10890000,0.43330000,2.10343750,10.11312000,2.56511558,0,1.00730849,0.58445000,0
---------
