title
"Node Hours: Per Job: by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[1] Node Hours: Per Job","[2] Node Hours: Per Job","[3 - 4] Node Hours: Per Job","[5 - 8] Node Hours: Per Job","[9 - 16] Node Hours: Per Job","[17 - 32] Node Hours: Per Job","[33 - 64] Node Hours: Per Job","[65 - 128] Node Hours: Per Job","[129 - 256] Node Hours: Per Job","[257 - 512] Node Hours: Per Job"
2016-12-22,0,0,0,0,16.84405000,0,0,0,0,0
2016-12-23,8.60360000,0,0,0,24.00000000,0,0,0,0,0
2016-12-24,24.00000000,0,0,0,24.00000000,0,0,0,0,0
2016-12-25,24.00000000,0,0,0,16.71990000,3.17405000,0,0,0,0
2016-12-26,24.00000000,0,0,0,10.69010000,24.00000000,0,0,0,0
2016-12-27,10.64603333,0,0,11.77930000,17.15724286,11.37039231,30.39780000,108.90027500,249.75920000,0
2016-12-28,8.78784235,0,0,15.27073125,11.76836667,21.58675000,134.33375000,123.18617647,223.02173333,0
2016-12-29,13.40718917,3.62000000,7.45007000,2.86102163,7.20440361,37.69525294,80.17717143,136.32988684,272.17639000,0
2016-12-30,6.90471389,24.00000000,0.90494684,0.27326947,0.81251975,6.33895378,24.09972500,95.63709848,217.72123636,291.47400000
2016-12-31,7.42395111,7.28581633,18.31826111,0.33539280,0.58915404,10.90764058,35.28028095,77.56834667,65.08345556,475.13310000
2017-01-01,10.68346909,17.62940000,12.73769167,0.14319851,0.49147652,2.78612043,7.65825417,20.84275588,0.44775000,0
---------
