title
"Node Hours: Per Job: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[crumpet] Node Hours: Per Job","[brioche] Node Hours: Per Job","[barm] Node Hours: Per Job","[pikelet] Node Hours: Per Job","[roti] Node Hours: Per Job","[pita] Node Hours: Per Job","[cornbread] Node Hours: Per Job","[focaccia] Node Hours: Per Job","[brown] Node Hours: Per Job","[white] Node Hours: Per Job","[pumpernickel] Node Hours: Per Job","[chapti] Node Hours: Per Job","[bannock] Node Hours: Per Job","[panettone] Node Hours: Per Job","[croutons] Node Hours: Per Job","[nann] Node Hours: Per Job","[black] Node Hours: Per Job","[potbrood] Node Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,16.74638889,0,0,0,0,0,0,16.94166667,0,0,0
2016-12-23,0,0,0,0,0,0,8.60361111,24.00000000,0,0,0,0,0,0,24.00000000,0,0,0
2016-12-24,0,0,0,0,0,0,24.00000000,24.00000000,0,0,0,0,0,0,24.00000000,0,0,0
2016-12-25,0,0,0,0,0,0,24.00000000,24.00000000,0,0,0,0,0,0,8.12694444,0,0,0
2016-12-26,0,0,0,2.70416667,0,0,24.00000000,24.00000000,0,0,0,0,0,0,24.00000000,0,0,0
2016-12-27,30.39777778,3.21666667,0,23.99988889,2.13466049,0,8.74933333,24.00000000,0,65.88057692,0,0,0,0,16.80310185,0,8.54972222,0
2016-12-28,191.99944444,24.00000000,0,9.02628472,20.59050505,0,23.99994444,24.00000000,0,14.70371501,0,0,0,4.70055556,22.70615079,0,138.67575397,0
2016-12-29,191.99944444,18.35061728,3.62000000,23.88768056,21.74257937,7.17361111,16.52593434,24.00000000,25.68555556,16.98192311,10.40083333,8.80250000,0,24.00000000,7.79982639,0,11.81844588,0
2016-12-30,39.05166667,19.97700980,24.00000000,18.92284722,11.21675926,11.30094444,13.34906566,24.00000000,16.74823302,6.82884292,5.72287037,5.51638889,3.48755556,1.36222222,1.30373607,0,0.37318291,0.36080952
2016-12-31,28.71324074,18.76048246,24.00000000,23.17909144,17.54138889,16.67157407,6.74696296,24.00000000,7.26925347,7.55347145,1.42694444,1.97407407,7.89148148,0,1.30500678,0.19659722,0.33500677,0.31978395
2017-01-01,8.33226010,12.59990741,17.62944444,11.20868794,0,11.49055556,11.62486111,2.00927350,0.96969246,2.43698204,4.28111111,0,3.23560606,0,1.24755716,1.16142469,0.08172211,0.39829710
---------
