title
"Wall Hours: Total: by Resource"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[robertson] Wall Hours: Total","[mortorq] Wall Hours: Total","[frearson] Wall Hours: Total","[pozidriv] Wall Hours: Total","[phillips] Wall Hours: Total"
2016-12-22,0,0,0,16.9417,16.7464
2016-12-23,0,0,0,32.6036,24.0000
2016-12-24,0,0,0,48.0000,24.0000
2016-12-25,0,0,0,56.5078,24.0000
2016-12-26,0,13.5208,0,120.0000,24.0000
2016-12-27,230.0508,119.9994,8.5497,147.7819,27.7997
2016-12-28,3813.5403,149.1211,184.7683,378.6936,48.0000
2016-12-29,18940.3194,573.8878,291.5536,650.5486,48.0000
2016-12-30,35118.7211,3073.6778,2399.7186,2212.9311,57.3514
2016-12-31,32474.1025,3053.6450,4362.2025,2352.9011,79.8103
2017-01-01,14493.7111,984.0242,534.8883,701.0794,65.1133
---------
