title
"Node Hours: Total: by Node Count"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[1] Node Hours: Total","[8] Node Hours: Total","[12] Node Hours: Total","[6] Node Hours: Total","[4] Node Hours: Total","[2] Node Hours: Total","[7] Node Hours: Total","[28] Node Hours: Total","[5] Node Hours: Total","[14] Node Hours: Total","[20] Node Hours: Total","[3] Node Hours: Total","[16] Node Hours: Total","[9] Node Hours: Total","[24] Node Hours: Total"
2016-12-22,33.6881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-23,56.6036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-24,72.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,80.5078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-26,157.5208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-27,409.2750,342.0144,249.7592,123.9844,0,81.3553,0,0,0,0,0,0,0,0,0
2016-12-28,4005.6653,2019.6519,2007.1956,220.6675,99.9525,138.9336,122.5131,0,0,0,0,0,0,0,0
2016-12-29,19160.9669,4472.6931,2591.9900,773.1000,476.1289,493.6831,270.7417,0,132.1989,26.9769,129.7739,0,0,0,0
2016-12-30,41450.9689,4638.3733,2487.8264,1124.0875,489.0831,234.3469,743.7050,582.4347,246.3558,255.2864,50.3539,0,2.7556,2.3450,0.5133
2016-12-31,41424.7550,2670.6625,1142.3389,325.4883,374.7639,384.7256,250.8700,475.1331,281.3150,0,0,58.4269,0.4800,0,0
2017-01-01,16498.7056,776.5181,0,122.7269,100.9650,197.5139,0,0,108.2178,0,0.4333,50.5656,1.1689,0,0
---------
