title
"CPU Hours: Per Job: by Job Wall Time"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[0 - 1s] CPU Hours: Per Job","[1 - 30s] CPU Hours: Per Job","[30s - 30min] CPU Hours: Per Job","[30 - 60min] CPU Hours: Per Job","[1 - 5hr] CPU Hours: Per Job","[5 - 10hr] CPU Hours: Per Job","[10 - 18hr] CPU Hours: Per Job","[18+hr] CPU Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,202.12805000
2016-12-23,0,0,0,0,0,0,0,194.86756667
2016-12-24,0,0,0,0,0,0,0,199.99970000
2016-12-25,0,0,0,0,0,0,0,129.71148333
2016-12-26,0,0,0,0,0,0,0,205.12072727
2016-12-27,0,0,0,0,0,0,0,370.31164762
2016-12-28,0,0,0,0,0,0,0,182.19640089
2016-12-29,0,0.02570000,2.04554400,3.63350787,7.12533529,213.35358750,31.47905413,123.85742769
2016-12-30,0,0.04720220,1.02464907,6.60105596,13.24308045,8.02305727,94.50569521,91.31994914
2016-12-31,0,0.04772090,2.05494890,6.77198484,12.42697352,7.75673764,153.82108763,56.92364942
2017-01-01,0.00000000,0.02343897,1.44768428,6.64146925,19.32247567,46.44872639,87.24674851,28.22707619
---------
