title
"User Expansion Factor: by Job Wall Time"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[0 - 1s] User Expansion Factor","[1 - 30s] User Expansion Factor","[30s - 30min] User Expansion Factor","[30 - 60min] User Expansion Factor","[1 - 5hr] User Expansion Factor","[5 - 10hr] User Expansion Factor","[10 - 18hr] User Expansion Factor","[18+hr] User Expansion Factor"
2016-12-22,0,0,0,0,0,0,0,1.0249
2016-12-23,0,0,0,0,0,0,0,1.0302
2016-12-24,0,0,0,0,0,0,0,1.0368
2016-12-25,0,0,0,0,0,0,0,1.0813
2016-12-26,0,0,0,0,0,0,0,1.1760
2016-12-27,0,0,0,0,0,0,0,2.0450
2016-12-28,0,0,0,0,0,0,0,1.5085
2016-12-29,0,1.0435,89.1224,13.7282,7.6486,2.9477,1.2752,1.2980
2016-12-30,0,132.3018,82.8002,17.8305,6.1278,1.2128,1.2140,1.1807
2016-12-31,0,461.4748,8.3565,2.5988,9.1530,1.9123,1.1838,1.1257
2017-01-01,0.0000,388.4193,29.1002,7.3779,4.2599,1.3120,1.0785,1.1068
---------
