title
"Wall Hours: Per Job: by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[1] Wall Hours: Per Job","[2] Wall Hours: Per Job","[3 - 4] Wall Hours: Per Job","[5 - 8] Wall Hours: Per Job","[9 - 16] Wall Hours: Per Job","[17 - 32] Wall Hours: Per Job","[33 - 64] Wall Hours: Per Job","[65 - 128] Wall Hours: Per Job","[129 - 256] Wall Hours: Per Job","[257 - 512] Wall Hours: Per Job"
2016-12-22,0,0,0,0,16.84402778,0,0,0,0,0
2016-12-23,8.60361111,0,0,0,24.00000000,0,0,0,0,0
2016-12-24,24.00000000,0,0,0,24.00000000,0,0,0,0,0
2016-12-25,24.00000000,0,0,0,16.71990741,3.17402778,0,0,0,0
2016-12-26,24.00000000,0,0,0,10.69010417,24.00000000,0,0,0,0
2016-12-27,10.64601852,0,0,11.77930556,17.15724206,8.24132479,3.79972222,14.90402778,20.81333333,0
2016-12-28,8.78784232,0,0,15.27072917,11.76836640,15.56878472,18.38902778,15.87991830,18.58515432,0
2016-12-29,13.40718927,3.62000000,7.45006944,2.86102163,7.20440428,21.11065359,14.62436508,17.85826754,22.24877778,0
2016-12-30,6.90471391,24.00000000,0.90494696,0.27326948,0.81185498,3.56492530,4.11834596,12.69962121,17.98659091,10.41125000
2016-12-31,7.42395118,7.28581633,18.31825617,0.33539281,0.58783168,5.15194042,6.80178571,9.52974691,5.42250000,16.96916667
2017-01-01,10.68346913,17.62944444,12.73768519,0.14319850,0.48658797,1.30690562,1.40549190,2.73462418,0.02527778,0
---------
