title
"Screwdriver Utilization (%): by Resource"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[robertson] Screwdriver Utilization (%)","[frearson] Screwdriver Utilization (%)","[mortorq] Screwdriver Utilization (%)","[pozidriv] Screwdriver Utilization (%)","[phillips] Screwdriver Utilization (%)"
2016-12-22,0,0,0,0.211770544,0.209329572
2016-12-23,0,0,0,0.308961516,0.299999711
2016-12-24,0,0,0,0.324999421,0.299999711
2016-12-25,0,0,0,0.510697049,0.299999711
2016-12-26,0,0,0.225346354,1.824995660,0.299999711
2016-12-27,11.241561921,0.142494792,1.999993056,2.263770833,0.553313947
2016-12-28,44.520802951,31.095162616,2.504937789,5.383663484,1.899995949
2016-12-29,115.451752894,43.836785012,9.033785012,8.173987847,1.899995949
2016-12-30,154.597484664,76.992820313,28.652237847,24.339121528,2.000610822
2016-12-31,107.532909144,67.517842593,28.114168981,25.677073495,2.647881944
2017-01-01,47.788802951,7.134417535,9.953749421,5.964579572,1.847194155
---------
