title
"Screwdriver Utilization (%): by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[white] Screwdriver Utilization (%)","[black] Screwdriver Utilization (%)","[pikelet] Screwdriver Utilization (%)","[roti] Screwdriver Utilization (%)","[croutons] Screwdriver Utilization (%)","[brown] Screwdriver Utilization (%)","[cornbread] Screwdriver Utilization (%)","[crumpet] Screwdriver Utilization (%)","[brioche] Screwdriver Utilization (%)","[nann] Screwdriver Utilization (%)","[focaccia] Screwdriver Utilization (%)","[bannock] Screwdriver Utilization (%)","[panettone] Screwdriver Utilization (%)","[chapti] Screwdriver Utilization (%)","[potbrood] Screwdriver Utilization (%)","[pita] Screwdriver Utilization (%)","[pumpernickel] Screwdriver Utilization (%)","[barm] Screwdriver Utilization (%)"
2016-12-22,0,0,0,0,0.211770544,0,0,0,0,0,0.209329572,0,0,0,0,0,0,0
2016-12-23,0,0,0,0,0.299999421,0,0.008962095,0,0,0,0.299999711,0,0,0,0,0,0,0
2016-12-24,0,0,0,0,0.299999421,0,0.025000000,0,0,0,0.299999711,0,0,0,0,0,0,0
2016-12-25,0,0,0,0,0.485697049,0,0.025000000,0,0,0,0.299999711,0,0,0,0,0,0,0
2016-12-26,0,0,0.225346354,0,1.799995660,0,0.025000000,0,0,0,0.299999711,0,0,0,0,0,0,0
2016-12-27,10.753627315,0.142494792,1.999993056,0.487934606,1.906309896,0,0.354110243,0.253314236,0.003350694,0,0.299999711,0,0,0,0,0,0,0
2016-12-28,37.745953414,16.021023727,2.407010127,6.774849537,2.786783275,0,1.624995370,1.599996238,0.025000000,0,0.299999711,0,0.097927662,0,0,0,0,0
2016-12-29,106.026045718,14.930699460,7.962559896,9.371536748,3.059956887,1.712373553,2.263804977,1.599996238,0.606305556,0,0.299999711,0,0.499997106,0.110030093,0,0.029889757,0.054170428,0.007541667
2016-12-30,148.253059317,25.740716146,6.307616609,6.107281250,4.646337095,9.623455729,3.999761574,1.627153646,1.265039063,0,0.299999711,0.263231481,0.425692130,0.413731192,0.147723380,0.099907986,0.089420718,0.049999711
2016-12-31,106.832849248,24.116688296,12.271612269,0.584710648,4.490881366,3.451248553,2.959961806,2.153493924,1.382966146,0.039316551,0.299999711,0.245870660,0,0.074026910,0.107917535,0.070836227,0.007431713,0.049999711
2017-01-01,47.651995081,2.432804905,5.102655382,0,3.323886863,0.028282697,0.387097222,1.527580150,0.599254051,3.266509838,0.298978299,0.549871238,0,0,0.114510417,0.047877604,0.022297454,0.036727720
---------
