title
"Screwdriver Utilization (%): by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Queue,"Screwdriver Utilization (%)"
white,41.569411827
black,6.503124500
pikelet,3.297890336
roti,2.120573890
croutons,2.119237952
brown,1.346850957
cornbread,1.061244844
crumpet,0.796503130
brioche,0.352901410
nann,0.300529672
focaccia,0.291664115
bannock,0.096270307
panettone,0.093056082
chapti,0.054344381
potbrood,0.033650121
pita,0.022591961
pumpernickel,0.015756392
barm,0.013115346
---------
