title
"Wall Hours: Per Job: by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
"Job Size","Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
1,13.31620063,0.17903115369348435
2,7.74754184,0.4585823099122674
"3 - 4",1.76281967,0.27722126123630386
"5 - 8",0.28744094,0.009042224120503265
"9 - 16",0.74433715,0.02820271509009402
"17 - 32",8.28519500,1.1171019439047387
"33 - 64",5.29163564,1.4989050862655384
"65 - 128",22.99202816,2.6572906606333793
"129 - 256",46.94808571,9.002831841794622
"257 - 512",18.89585000,13.346247657795425
---------
