title
"CPU Hours: Per Job: by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[1] CPU Hours: Per Job","[2] CPU Hours: Per Job","[3 - 4] CPU Hours: Per Job","[5 - 8] CPU Hours: Per Job","[9 - 16] CPU Hours: Per Job","[17 - 32] CPU Hours: Per Job","[33 - 64] CPU Hours: Per Job","[65 - 128] CPU Hours: Per Job","[129 - 256] CPU Hours: Per Job","[257 - 512] CPU Hours: Per Job"
2016-12-22,0,0,0,0,202.12805556,0,0,0,0,0
2016-12-23,8.60361111,0,0,0,287.99958333,0,0,0,0,0
2016-12-24,24.00000000,0,0,0,287.99958333,0,0,0,0,0
2016-12-25,24.00000000,0,0,0,200.63861111,76.17652778,0,0,0,0
2016-12-26,24.00000000,0,0,0,135.04138889,575.99847222,0,0,0,0
2016-12-27,10.64601852,0,0,94.23444444,248.25704365,231.74175214,243.18166667,1306.80326389,2997.10833333,0
2016-12-28,8.78784232,0,0,122.16572917,166.40318122,471.85085648,1074.67027778,1507.06080065,3440.34820988,0
2016-12-29,13.40718927,7.24000000,29.80029167,22.73814103,101.22434572,649.60107843,798.73349206,1664.45785088,4135.80347222,0
2016-12-30,6.90471391,47.99972222,3.61978785,2.18327124,10.24902481,107.33025444,228.24592803,1185.01146465,3432.15952020,3497.68763889
2016-12-31,7.42395118,14.57162982,73.27305556,2.68285027,7.26952427,130.50362319,382.53383598,903.60266667,1041.12191358,5701.59805556
2017-01-01,10.68346913,35.25861111,50.95076389,1.14434613,6.09791655,32.28885603,75.95746528,250.02989379,4.50666667,0
---------
