title
"Wall Hours: Total: by Job Wall Time"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[0 - 1s] Wall Hours: Total","[1 - 30s] Wall Hours: Total","[30s - 30min] Wall Hours: Total","[30 - 60min] Wall Hours: Total","[1 - 5hr] Wall Hours: Total","[5 - 10hr] Wall Hours: Total","[10 - 18hr] Wall Hours: Total","[18+hr] Wall Hours: Total"
2016-12-22,0,0,0,0,0,0,0,33.6881
2016-12-23,0,0,0,0,0,0,0,56.6036
2016-12-24,0,0,0,0,0,0,0,72.0000
2016-12-25,0,0,0,0,0,0,0,80.5078
2016-12-26,0,0,0,0,0,0,0,157.5208
2016-12-27,0,0,0,0,0,0,0,534.1817
2016-12-28,0,0,0,0,0,0,0,4574.1233
2016-12-29,0,0.0064,10.1889,29.7011,123.4439,43.8944,631.8792,19665.1956
2016-12-30,0,26.0614,1644.0156,2191.4797,3811.8458,3480.9572,1286.6861,30421.3542
2016-12-31,0,20.7692,2805.9486,2973.5878,3592.4039,6555.3944,882.6386,25491.9189
2017-01-01,0.0000,24.7183,308.9844,412.5481,2214.4753,455.6008,1164.3694,12198.1200
---------
