title
"Node Hours: Total: by Job Wall Time"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[0 - 1s] Node Hours: Total","[1 - 30s] Node Hours: Total","[30s - 30min] Node Hours: Total","[30 - 60min] Node Hours: Total","[1 - 5hr] Node Hours: Total","[5 - 10hr] Node Hours: Total","[10 - 18hr] Node Hours: Total","[18+hr] Node Hours: Total"
2016-12-22,0,0,0,0,0,0,0,33.6881
2016-12-23,0,0,0,0,0,0,0,56.6036
2016-12-24,0,0,0,0,0,0,0,72.0000
2016-12-25,0,0,0,0,0,0,0,80.5078
2016-12-26,0,0,0,0,0,0,0,157.5208
2016-12-27,0,0,0,0,0,0,0,1206.3883
2016-12-28,0,0,0,0,0,0,0,8614.5794
2016-12-29,0,0.0064,10.1889,29.7011,123.4439,190.8039,781.1711,27392.9381
2016-12-30,0,26.0833,1679.7264,2203.1681,3835.4494,3609.0806,2011.2256,38943.7025
2016-12-31,0,20.7822,2813.8186,2977.4300,3675.9986,6602.5328,1758.6831,29539.7139
2017-01-01,0.0000,24.7453,352.1014,444.1011,2262.1475,543.8786,1591.9111,12637.9300
---------
