title
"Node Hours: Per Job: by Resource"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[robertson] Node Hours: Per Job","[frearson] Node Hours: Per Job","[pozidriv] Node Hours: Per Job","[phillips] Node Hours: Per Job","[mortorq] Node Hours: Per Job"
2016-12-22,0,0,16.94170000,16.74640000,0
2016-12-23,0,0,16.30180000,24.00000000,0
2016-12-24,0,0,24.00000000,24.00000000,0
2016-12-25,0,0,11.30156000,24.00000000,0
2016-12-26,0,0,24.00000000,24.00000000,2.70416000
2016-12-27,39.80270909,8.54970000,12.31516667,27.19890000,23.99988000
2016-12-28,14.86399926,186.57098000,22.27608824,107.99970000,8.77183529
2016-12-29,17.02381144,27.74326211,7.84784318,107.99970000,4.74287438
2016-12-30,6.80415550,1.28120717,0.44502655,0.21618322,0.24654511
2016-12-31,7.51406256,0.58724534,0.50545141,0.12185967,0.34878867
2017-01-01,2.42988601,0.18274288,0.47115565,0.43423484,0.18514100
---------
