title
"Node Hours: Per Job: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[crumpet] Node Hours: Per Job","[brioche] Node Hours: Per Job","[barm] Node Hours: Per Job","[pikelet] Node Hours: Per Job","[roti] Node Hours: Per Job","[pita] Node Hours: Per Job","[cornbread] Node Hours: Per Job","[focaccia] Node Hours: Per Job","[brown] Node Hours: Per Job","[white] Node Hours: Per Job","[pumpernickel] Node Hours: Per Job","[chapti] Node Hours: Per Job","[bannock] Node Hours: Per Job","[panettone] Node Hours: Per Job","[croutons] Node Hours: Per Job","[nann] Node Hours: Per Job","[black] Node Hours: Per Job","[potbrood] Node Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,16.74640000,0,0,0,0,0,0,16.94170000,0,0,0
2016-12-23,0,0,0,0,0,0,8.60360000,24.00000000,0,0,0,0,0,0,24.00000000,0,0,0
2016-12-24,0,0,0,0,0,0,24.00000000,24.00000000,0,0,0,0,0,0,24.00000000,0,0,0
2016-12-25,0,0,0,0,0,0,24.00000000,24.00000000,0,0,0,0,0,0,8.12695000,0,0,0
2016-12-26,0,0,0,2.70416000,0,0,24.00000000,24.00000000,0,0,0,0,0,0,24.00000000,0,0,0
2016-12-27,30.39780000,3.21670000,0,23.99988000,2.13466667,0,8.74934000,24.00000000,0,65.88058462,0,0,0,0,16.80310000,0,8.54970000,0
2016-12-28,191.99940000,24.00000000,0,9.02628750,20.59050909,0,23.99994000,24.00000000,0,14.70371527,0,0,0,4.70060000,22.70614286,0,138.67575714,0
2016-12-29,191.99940000,18.35061111,3.62000000,23.88768000,21.74257857,7.17360000,16.52593636,24.00000000,25.68555000,16.98192297,10.40080000,8.80250000,0,24.00000000,7.79982083,0,11.81844612,0
2016-12-30,39.05166000,19.97700588,24.00000000,18.92284500,11.21675556,11.30096000,13.34906364,24.00000000,16.74823333,6.82884292,5.72286667,5.51638333,3.48754000,1.36222667,1.30373577,0,0.37318291,0.36080857
2016-12-31,28.71324444,18.76048947,24.00000000,23.17908958,17.54140000,16.67156667,6.74696000,24.00000000,7.26925000,7.55347140,1.42690000,1.97406667,7.89150000,0,1.30500678,0.19659375,0.33500676,0.31978519
2017-01-01,8.33225455,12.59990833,17.62940000,11.20868936,0,11.49060000,11.62490000,2.00927692,0.96969286,2.43698205,4.28110000,0,3.23560000,0,1.24755788,1.16142489,0.08172212,0.39829565
---------
