title
"Wall Hours: Per Job: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[barm] Wall Hours: Per Job","[pikelet] Wall Hours: Per Job","[brioche] Wall Hours: Per Job","[roti] Wall Hours: Per Job","[pita] Wall Hours: Per Job","[focaccia] Wall Hours: Per Job","[cornbread] Wall Hours: Per Job","[pumpernickel] Wall Hours: Per Job","[white] Wall Hours: Per Job","[chapti] Wall Hours: Per Job","[crumpet] Wall Hours: Per Job","[bannock] Wall Hours: Per Job","[panettone] Wall Hours: Per Job","[brown] Wall Hours: Per Job","[croutons] Wall Hours: Per Job","[nann] Wall Hours: Per Job","[black] Wall Hours: Per Job","[potbrood] Wall Hours: Per Job"
2016-12-22,0,0,0,0,0,16.74638889,0,0,0,0,0,0,0,0,16.94166667,0,0,0
2016-12-23,0,0,0,0,0,24.00000000,8.60361111,0,0,0,0,0,0,0,24.00000000,0,0,0
2016-12-24,0,0,0,0,0,24.00000000,24.00000000,0,0,0,0,0,0,0,24.00000000,0,0,0
2016-12-25,0,0,0,0,0,24.00000000,24.00000000,0,0,0,0,0,0,0,8.12694444,0,0,0
2016-12-26,0,2.70416667,0,0,0,24.00000000,24.00000000,0,0,0,0,0,0,0,24.00000000,0,0,0
2016-12-27,0,23.99988889,3.21666667,2.13466049,0,24.00000000,8.74933333,0,16.21837607,0,3.79972222,0,0,0,16.80310185,0,8.54972222,0
2016-12-28,0,9.02628472,24.00000000,20.59050505,0,24.00000000,23.99994444,0,9.12734026,0,24.00000000,0,4.70055556,0,22.70615079,0,18.60851190,0
2016-12-29,3.62000000,23.88768056,18.35061728,21.74257937,7.17361111,24.00000000,14.60891414,10.40083333,13.12580867,8.80250000,24.00000000,0,24.00000000,3.66930556,7.79982639,0,2.01255867,0
2016-12-30,24.00000000,18.92284722,19.97700980,11.21675926,11.30094444,24.00000000,10.07636364,5.72287037,5.76790149,5.51638889,4.90727778,2.07438889,1.36222222,3.04096451,1.29791629,0,0.27070219,0.27470635
2016-12-31,24.00000000,23.17909144,18.76048246,17.54138889,16.67157407,24.00000000,5.00550000,1.42694444,6.71961903,1.97407407,3.60929012,7.89148148,0,1.76821181,1.30500678,0.19659722,0.31093212,0.22569959
2017-01-01,17.62944444,11.20868794,12.59990741,0,11.49055556,2.00927350,11.62486111,4.28111111,2.29034024,0,1.65983586,3.23560606,0,0.96969246,1.24755716,1.16142469,0.08172211,0.23123188
---------
