title
"Wall Hours: Per Job: by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
"Job Size","Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
1,13.31620066,0.17903115369348443
2,7.74754252,0.4585823099122674
"3 - 4",1.76281952,0.2772212612363039
"5 - 8",0.28744094,0.009042224120503265
"9 - 16",0.74433715,0.02820271509009402
"17 - 32",8.28519444,1.117101943904739
"33 - 64",5.29163641,1.4989050862655384
"65 - 128",22.99202805,2.6572906606333793
"129 - 256",46.94807540,9.002831841794622
"257 - 512",18.89583333,13.346247657795425
---------
