title
"Node Hours: Per Job: by Job Wall Time"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[0 - 1s] Node Hours: Per Job","[1 - 30s] Node Hours: Per Job","[30s - 30min] Node Hours: Per Job","[30 - 60min] Node Hours: Per Job","[1 - 5hr] Node Hours: Per Job","[5 - 10hr] Node Hours: Per Job","[10 - 18hr] Node Hours: Per Job","[18+hr] Node Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,16.84402778
2016-12-23,0,0,0,0,0,0,0,18.86787037
2016-12-24,0,0,0,0,0,0,0,24.00000000
2016-12-25,0,0,0,0,0,0,0,13.41796296
2016-12-26,0,0,0,0,0,0,0,14.32007576
2016-12-27,0,0,0,0,0,0,0,28.72353175
2016-12-28,0,0,0,0,0,0,0,19.14350988
2016-12-29,0,0.00319444,0.20377778,0.33372035,0.80682280,23.85048611,7.16670744,20.61169154
2016-12-30,0,0.00615899,0.10752313,0.60261708,1.59544486,4.56268085,12.04326680,19.66853662
2016-12-31,0,0.00600816,0.17849649,0.58784403,1.64400653,5.68693607,18.13075315,16.22169901
2017-01-01,0.00000000,0.00271538,0.13372632,0.66283748,1.90416456,7.55386960,15.76149615,13.61845905
---------
