title
"Wall Hours: Per Job: by System Username"
parameters

start,end
2016-12-22,2017-01-01
---------
"System Username","Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
chaff,120.00750000,0
sante,87.43888889,0
ovenb,82.76488889,0
mamwa,72.00722222,0
aytinis,72.00432099,0
siski,70.03527778,0
ferdu,70.00805556,0
meapi,63.57475694,0
garwa,52.33124738,0
lapwi,49.85089556,0
yebsa,49.75941358,0
gloib,48.00694444,0
shttr,46.66084596,0
whtpl,44.13648148,0
misth,39.37914141,0
ybsbu,38.73833333,0
velsc,37.18180556,0
smew1,36.49011905,0
ribgu,31.90972222,0
corsh,27.37690972,0
whtsp,25.49490741,0
moorh,25.48654273,0
yebbu,25.17500000,0
pereg,24.84777778,0
jackd,21.84694444,0
hoowa,21.83599206,0
shag1,20.71646465,0
lesre,18.89791667,0
sposa,16.91415278,0
boowa,16.76538889,0
egygo,15.78250000,0
duswa,15.43750000,2.9494940566043315
field,14.37398148,0
crane,12.67826389,0
evegr,10.08083333,5.736683481374286
pibgr,10.00406111,0
sarwa,9.41402469,1.0834245569313228
noror,9.12111111,1.9524224052907544
legsh,8.59051583,0
grath,7.94699945,0.25270636760637494
sancr,7.43893904,0.6293170187824826
litau,7.02769444,1.755787906012348
whimb,6.17696429,0.6503912196723701
blhbu,5.98691667,0.9781127830854603
henha,5.04208333,1.4127344221195686
rolle,4.58416667,1.0571184915561778
yebwa,4.51402778,1.386494831634823
lanhach,3.89088542,1.5421905431228633
caspl,2.10733760,0.047308522370844895
turdo,1.44922465,0.09512739060820724
coot1,0.97185185,0.00047851951362786767
proubis,0.97183642,0.00037868084285168444
categ,0.97148148,0.0005075905675059156
sogsh,0.88155664,0.09909785167735996
vertera,0.81574879,0.33900156725604075
alpsw,0.66013889,0.2379191991153246
swath,0.56853047,0.04163718237845962
litst,0.33320707,0.09324722160395126
reebu,0.29758038,0.026000838980860645
honbu,0.28378821,0.002129431051113782
allga,0.26055556,0
dunli,0.18926081,0.027954377835160745
crama,0.08049603,0.022331879009996003
relpa,0.06500000,0
savsp,0.02439103,0.001692897033294295
grgsh,0.02076714,0.0006447632527319156
---------
