title
"CPU Hours: Total: by Node Count"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[1] CPU Hours: Total","[8] CPU Hours: Total","[12] CPU Hours: Total","[6] CPU Hours: Total","[2] CPU Hours: Total","[7] CPU Hours: Total","[4] CPU Hours: Total","[28] CPU Hours: Total","[5] CPU Hours: Total","[20] CPU Hours: Total","[3] CPU Hours: Total","[14] CPU Hours: Total","[16] CPU Hours: Total","[9] CPU Hours: Total","[24] CPU Hours: Total"
2016-12-22,404.2561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-23,584.6028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-24,599.9992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,778.2689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-26,2256.3281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-27,5783.9022,3982.5806,2997.1083,1487.8142,1301.6839,0,0,0,0,0,0,0,0,0,0
2016-12-28,20233.3119,23467.8267,30963.1339,2341.3372,2222.9400,1960.2103,799.6203,0,0,0,0,0,0,0,0
2016-12-29,50186.0458,52904.3197,40319.8444,8701.2022,8050.7264,4331.8683,4033.9636,0,1586.3861,1038.1903,0,107.9075,0,0,0
2016-12-30,136663.5614,54828.9347,38487.9000,12913.0514,3846.2981,11899.2764,5045.1586,6989.2153,2956.2706,402.8319,0,1021.1458,31.0400,28.1400,6.1600
2016-12-31,151722.5367,31016.0781,13820.8800,3683.6842,4620.6489,4013.9208,3568.2706,5701.5981,3375.7822,0,701.1217,0,5.7600,0,0
2017-01-01,54777.6581,8617.7089,0,1408.0378,2179.9450,0,877.7783,0,1298.6108,3.4667,606.7883,0,11.2000,0,0
---------
