title
"Node Hours: Per Job: by Job Wall Time"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[0 - 1s] Node Hours: Per Job","[1 - 30s] Node Hours: Per Job","[30s - 30min] Node Hours: Per Job","[30 - 60min] Node Hours: Per Job","[1 - 5hr] Node Hours: Per Job","[5 - 10hr] Node Hours: Per Job","[10 - 18hr] Node Hours: Per Job","[18+hr] Node Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,16.84405000
2016-12-23,0,0,0,0,0,0,0,18.86786667
2016-12-24,0,0,0,0,0,0,0,24.00000000
2016-12-25,0,0,0,0,0,0,0,13.41796667
2016-12-26,0,0,0,0,0,0,0,14.32007273
2016-12-27,0,0,0,0,0,0,0,28.72353571
2016-12-28,0,0,0,0,0,0,0,19.14351022
2016-12-29,0,0.00320000,0.20377800,0.33372022,0.80682288,23.85048750,7.16670734,20.61169120
2016-12-30,0,0.00615901,0.10752313,0.60261715,1.59544480,4.56268066,12.04326647,19.66853646
2016-12-31,0,0.00600812,0.17849650,0.58784401,1.64400640,5.68693618,18.13075155,16.22169890
2017-01-01,0.00000000,0.00271536,0.13372643,0.66283746,1.90416456,7.55387083,15.76149703,13.61845916
---------
