title
"Wait Hours: Per Job: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Queue,"Wait Hours: Per Job","Std Dev: Wait Hours: Per Job"
white,17.34677429,0.42765795662116723
nann,9.55167249,0.4060879409774964
brioche,4.57931000,2.109102885969149
cornbread,4.03722444,2.2970826064795102
roti,3.71197222,1.9172619541470257
black,1.00651907,0.010945578987168504
pikelet,0.68931698,0.18792064181649995
croutons,0.19196222,0.08843596907200513
chapti,0.16736250,0.13656221307566546
focaccia,0.09485385,0.031010135623440058
barm,0.00440000,0
panettone,0.00100000,0.00007314228762270922
bannock,0.00046667,0.00010236496271181964
potbrood,0.00035647,0.00004704333548802711
crumpet,0.00016765,0.000030824909099336814
brown,0.00016630,0.000023797091252046995
pumpernickel,0.00007500,0.000060140653040586014
pita,0.00005000,0.000042262543051183966
---------
