title
"CPU Hours: Per Job: by Node Count"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[28] CPU Hours: Per Job","[12] CPU Hours: Per Job","[7] CPU Hours: Per Job","[8] CPU Hours: Per Job","[6] CPU Hours: Per Job","[5] CPU Hours: Per Job","[20] CPU Hours: Per Job","[14] CPU Hours: Per Job","[3] CPU Hours: Per Job","[4] CPU Hours: Per Job","[2] CPU Hours: Per Job","[9] CPU Hours: Per Job","[16] CPU Hours: Per Job","[24] CPU Hours: Per Job","[1] CPU Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.12805556
2016-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.86759259
2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.99972222
2016-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.71148148
2016-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.12073232
2016-12-27,0,2997.10833333,0,995.64513889,1487.81416667,0,0,0,0,0,650.84194444,0,0,0,170.11477124
2016-12-28,0,3440.34820988,1960.21027778,1466.73916667,1170.66861111,0,0,0,0,266.54009259,317.56285714,0,0,0,49.10998045
2016-12-29,0,4479.98271605,866.37366667,2034.78152778,966.80024691,793.19305556,1038.19027778,107.90750000,0,576.28051587,731.88421717,0,0,0,30.06953016
2016-12-30,6989.21527778,3498.90000000,1322.14182099,961.91113548,1291.30513889,591.25411111,402.83194444,510.57291667,0,123.05264905,68.68389385,28.14000000,15.52000000,6.16000000,4.76877526
2016-12-31,5701.59805556,1382.08800000,802.78416667,816.21258041,613.94736111,1125.26074074,0,0,140.22433333,254.87646825,184.82595556,0,5.76000000,0,5.14400870
2017-01-01,0,0,0,195.85702020,176.00472222,649.30541667,3.46666667,0,121.35766667,18.28704861,28.31097403,0,5.60000000,0,3.34438354
---------
