title
"Wall Hours: Total: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[white] Wall Hours: Total","[black] Wall Hours: Total","[pikelet] Wall Hours: Total","[croutons] Wall Hours: Total","[brioche] Wall Hours: Total","[cornbread] Wall Hours: Total","[roti] Wall Hours: Total","[nann] Wall Hours: Total","[focaccia] Wall Hours: Total","[brown] Wall Hours: Total","[crumpet] Wall Hours: Total","[pita] Wall Hours: Total","[bannock] Wall Hours: Total","[barm] Wall Hours: Total","[panettone] Wall Hours: Total","[chapti] Wall Hours: Total","[pumpernickel] Wall Hours: Total","[potbrood] Wall Hours: Total"
2016-12-22,0,0,0,16.9417,0,0,0,0,16.7464,0,0,0,0,0,0,0,0,0
2016-12-23,0,0,0,24.0000,0,8.6036,0,0,24.0000,0,0,0,0,0,0,0,0,0
2016-12-24,0,0,0,24.0000,0,24.0000,0,0,24.0000,0,0,0,0,0,0,0,0,0
2016-12-25,0,0,0,32.5078,0,24.0000,0,0,24.0000,0,0,0,0,0,0,0,0,0
2016-12-26,0,0,13.5208,96.0000,0,24.0000,0,0,24.0000,0,0,0,0,0,0,0,0,0
2016-12-27,210.8389,8.5497,119.9994,100.8186,3.2167,43.7467,19.2119,0,24.0000,0,3.7997,0,0,0,0,0,0,0
2016-12-28,3587.0447,260.5192,144.4206,158.9431,24.0000,119.9997,226.4956,0,24.0000,0,24.0000,0,0,0,4.7006,0,0,0
2016-12-29,18625.5225,466.9136,477.7536,187.1958,165.1556,160.6981,304.3961,0,24.0000,14.6772,24.0000,7.1736,0,3.6200,24.0000,8.8025,10.4008,0
2016-12-30,34890.0361,6022.5822,378.4569,478.9311,339.6092,221.6800,201.9017,0,24.0000,109.4747,24.5364,56.5047,10.3719,24.0000,20.4333,33.0983,17.1686,9.6147
2016-12-31,32449.0403,7527.9775,1112.5964,481.5475,356.4492,150.1650,17.5414,3.1456,24.0000,56.5828,32.4836,50.0147,23.6744,24.0000,0,5.9222,1.4269,6.0939
2017-01-01,14484.1117,780.0375,526.8083,387.9903,151.1989,23.2497,0,261.3206,26.1206,27.1514,36.5164,11.4906,35.5917,17.6294,0,0,4.2811,5.3183
---------
