title
"CPU Hours: Per Job: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[roti] CPU Hours: Per Job","[pikelet] CPU Hours: Per Job","[crumpet] CPU Hours: Per Job","[brown] CPU Hours: Per Job","[cornbread] CPU Hours: Per Job","[focaccia] CPU Hours: Per Job","[brioche] CPU Hours: Per Job","[panettone] CPU Hours: Per Job","[chapti] CPU Hours: Per Job","[bannock] CPU Hours: Per Job","[barm] CPU Hours: Per Job","[pumpernickel] CPU Hours: Per Job","[pita] CPU Hours: Per Job","[white] CPU Hours: Per Job","[croutons] CPU Hours: Per Job","[nann] CPU Hours: Per Job","[black] CPU Hours: Per Job","[potbrood] CPU Hours: Per Job"
2016-12-22,0,0,0,0,0,200.95638889,0,0,0,0,0,0,0,0,203.29972222,0,0,0
2016-12-23,0,0,0,0,8.60361111,287.99972222,0,0,0,0,0,0,0,0,287.99944444,0,0,0
2016-12-24,0,0,0,0,24.00000000,287.99972222,0,0,0,0,0,0,0,0,287.99944444,0,0,0
2016-12-25,0,0,0,0,24.00000000,287.99972222,0,0,0,0,0,0,0,0,116.56729167,0,0,0
2016-12-26,0,43.26650000,0,0,24.00000000,287.99972222,0,0,0,0,0,0,0,0,431.99895833,0,0,0
2016-12-27,52.04635802,383.99866667,243.18166667,0,67.98916667,287.99972222,3.21666667,0,0,0,0,0,0,794.11401709,305.00958333,0,136.79500000,0
2016-12-28,591.25959596,144.42060764,1535.99638889,0,311.99911111,287.99972222,24.00000000,94.01055556,0,0,0,0,0,92.20385567,382.18742063,0,2197.16896825,0
2016-12-29,642.61966270,382.20287500,1535.99638889,410.96965278,197.56843434,287.99972222,64.67259259,479.99722222,105.62888889,0,7.24000000,52.00361111,28.69416667,71.73009435,122.39827546,0,185.34661398,0
2016-12-30,325.72166667,302.76559722,312.41350000,256.62548611,174.53505051,287.99972222,71.43750000,27.24429630,66.19699074,50.54044444,47.99972222,28.61462963,19.18233333,23.52834137,12.08803147,0,4.44284205,4.05184127
2016-12-31,561.32222222,245.43224537,229.70601852,103.53745660,94.71877778,287.99972222,69.87618421,0,23.68861111,78.67861111,47.99972222,7.13444444,22.66759259,21.23825539,11.68359380,2.35899306,3.82504164,3.83706790
2017-01-01,0,104.22445035,66.65804293,0.96969246,185.80666667,22.07839744,47.94032407,0,0,47.98876263,35.25861111,21.40555556,45.96250000,7.23369944,10.26022955,13.93710864,0.97872926,4.77956522
---------
