title
"CPU Hours: Total: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[white] CPU Hours: Total","[black] CPU Hours: Total","[pikelet] CPU Hours: Total","[roti] CPU Hours: Total","[croutons] CPU Hours: Total","[brown] CPU Hours: Total","[cornbread] CPU Hours: Total","[crumpet] CPU Hours: Total","[brioche] CPU Hours: Total","[nann] CPU Hours: Total","[focaccia] CPU Hours: Total","[bannock] CPU Hours: Total","[panettone] CPU Hours: Total","[chapti] CPU Hours: Total","[potbrood] CPU Hours: Total","[pita] CPU Hours: Total","[pumpernickel] CPU Hours: Total","[barm] CPU Hours: Total"
2016-12-22,0,0,0,0,203.2997,0,0,0,0,0,200.9564,0,0,0,0,0,0,0
2016-12-23,0,0,0,0,287.9994,0,8.6036,0,0,0,287.9997,0,0,0,0,0,0,0
2016-12-24,0,0,0,0,287.9994,0,24.0000,0,0,0,287.9997,0,0,0,0,0,0,0
2016-12-25,0,0,0,0,466.2692,0,24.0000,0,0,0,287.9997,0,0,0,0,0,0,0
2016-12-26,0,0,216.3325,0,1727.9958,0,24.0000,0,0,0,287.9997,0,0,0,0,0,0,0
2016-12-27,10323.4822,136.7950,1919.9933,468.4172,1830.0575,0,339.9458,243.1817,3.2167,0,287.9997,0,0,0,0,0,0,0
2016-12-28,36236.1153,30760.3656,2310.7297,6503.8556,2675.3119,0,1559.9956,1535.9964,24.0000,0,287.9997,0,94.0106,0,0,0,0,0
2016-12-29,101785.0039,43000.4144,7644.0575,8996.6753,2937.5586,1643.8786,2173.2528,1535.9964,582.0533,0,287.9997,0,479.9972,105.6289,0,28.6942,52.0036,7.2400
2016-12-30,142322.9369,98844.3500,6055.3119,5862.9900,4460.4836,9238.5175,3839.7711,1562.0675,1214.4375,0,287.9997,252.7022,408.6644,397.1819,141.8144,95.9117,85.8439,47.9997
2016-12-31,102559.5353,92608.0831,11780.7478,561.3222,4311.2461,3313.1986,2841.5633,2067.3542,1327.6475,37.7439,287.9997,236.0358,0,71.0658,103.6008,68.0028,7.1344,47.9997
2017-01-01,45745.9153,9341.9708,4898.5492,0,3190.9314,27.1514,371.6133,1466.4769,575.2839,3135.8494,287.0192,527.8764,0,0,109.9300,45.9625,21.4056,35.2586
---------
