title
"CPU Hours: Per Job: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[roti] CPU Hours: Per Job","[pikelet] CPU Hours: Per Job","[crumpet] CPU Hours: Per Job","[brown] CPU Hours: Per Job","[cornbread] CPU Hours: Per Job","[focaccia] CPU Hours: Per Job","[brioche] CPU Hours: Per Job","[panettone] CPU Hours: Per Job","[chapti] CPU Hours: Per Job","[bannock] CPU Hours: Per Job","[barm] CPU Hours: Per Job","[pumpernickel] CPU Hours: Per Job","[pita] CPU Hours: Per Job","[white] CPU Hours: Per Job","[croutons] CPU Hours: Per Job","[nann] CPU Hours: Per Job","[black] CPU Hours: Per Job","[potbrood] CPU Hours: Per Job"
2016-12-22,0,0,0,0,0,200.95640000,0,0,0,0,0,0,0,0,203.29970000,0,0,0
2016-12-23,0,0,0,0,8.60360000,287.99970000,0,0,0,0,0,0,0,0,287.99940000,0,0,0
2016-12-24,0,0,0,0,24.00000000,287.99970000,0,0,0,0,0,0,0,0,287.99940000,0,0,0
2016-12-25,0,0,0,0,24.00000000,287.99970000,0,0,0,0,0,0,0,0,116.56730000,0,0,0
2016-12-26,0,43.26650000,0,0,24.00000000,287.99970000,0,0,0,0,0,0,0,0,431.99895000,0,0,0
2016-12-27,52.04635556,383.99866000,243.18170000,0,67.98916000,287.99970000,3.21670000,0,0,0,0,0,0,794.11401538,305.00960000,0,136.79500000,0
2016-12-28,591.25960000,144.42060625,1535.99640000,0,311.99912000,287.99970000,24.00000000,94.01060000,0,0,0,0,0,92.20385598,382.18741429,0,2197.16896429,0
2016-12-29,642.61966429,382.20287500,1535.99640000,410.96965000,197.56843636,287.99970000,64.67258889,479.99720000,105.62890000,0,7.24000000,52.00360000,28.69420000,71.73009415,122.39827500,0,185.34661379,0
2016-12-30,325.72166111,302.76559500,312.41350000,256.62548889,174.53504545,287.99970000,71.43750000,27.24430000,66.19698333,50.54044000,47.99970000,28.61463333,19.18234000,23.52834130,12.08803144,0,4.44284205,4.05184571
2016-12-31,561.32220000,245.43224375,229.70601111,103.53745313,94.71877333,287.99970000,69.87618421,0,23.68860000,78.67860000,47.99970000,7.13440000,22.66760000,21.23825544,11.68359377,2.35898750,3.82504164,3.83706296
2017-01-01,0,104.22445106,66.65804545,0.96969286,185.80670000,22.07840000,47.94031667,0,0,47.98876364,35.25860000,21.40560000,45.96250000,7.23369946,10.26022958,13.93710889,0.97872925,4.77956522
---------
