title
"Screwdriver Utilization (%): by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[1] Screwdriver Utilization (%)","[2] Screwdriver Utilization (%)","[3 - 4] Screwdriver Utilization (%)","[5 - 8] Screwdriver Utilization (%)","[9 - 16] Screwdriver Utilization (%)","[17 - 32] Screwdriver Utilization (%)","[33 - 64] Screwdriver Utilization (%)","[65 - 128] Screwdriver Utilization (%)","[129 - 256] Screwdriver Utilization (%)","[257 - 512] Screwdriver Utilization (%)"
2016-12-22,0,0,0,0,0.210550058,0,0,0,0,0
2016-12-23,0.008962095,0,0,0,0.299999566,0,0,0,0,0
2016-12-24,0.025000000,0,0,0,0.299999566,0,0,0,0,0
2016-12-25,0.025000000,0,0,0,0.313497830,0.158701100,0,0,0,0
2016-12-26,0.025000000,0,0,0,0.375114969,1.199996817,0,0,0,0
2016-12-27,0.016634404,0,0,0.294482639,0.724083044,1.569084780,0.253314236,5.445013600,3.121987847,0
2016-12-28,1.556180411,0,0,1.018047743,1.456027836,3.932090471,1.119448206,13.343767506,16.126632234,0
2016-12-29,8.770536314,0.007541667,0.206946470,1.642199074,3.500675289,7.668901620,1.941366127,32.942394965,21.540643084,0
2016-12-30,8.114836950,0.049999711,0.915001929,10.152779803,11.773567245,3.326119864,3.487090567,27.156512731,19.663413918,7.286849248
2016-12-31,7.561216942,0.743760272,0.686934896,10.235353226,16.327654398,3.126649306,2.789309221,21.178187500,4.880258970,5.939164641
2017-01-01,3.249555194,0.036727720,0.318442274,3.082582393,6.179222106,1.042660976,1.898936632,8.855225405,0.009388889,0
---------
