title
"Node Hours: Per Job: by Resource"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[robertson] Node Hours: Per Job","[frearson] Node Hours: Per Job","[pozidriv] Node Hours: Per Job","[phillips] Node Hours: Per Job","[mortorq] Node Hours: Per Job"
2016-12-22,0,0,16.94166667,16.74638889,0
2016-12-23,0,0,16.30180556,24.00000000,0
2016-12-24,0,0,24.00000000,24.00000000,0
2016-12-25,0,0,11.30155556,24.00000000,0
2016-12-26,0,0,24.00000000,24.00000000,2.70416667
2016-12-27,39.80270202,8.54972222,12.31516204,27.19888889,23.99988889
2016-12-28,14.86399890,186.57097222,22.27609477,107.99972222,8.77183007
2016-12-29,17.02381160,27.74326316,7.84784407,107.99972222,4.74287420
2016-12-30,6.80415552,1.28120718,0.44502661,0.21618325,0.24654510
2016-12-31,7.51406260,0.58724535,0.50545144,0.12185964,0.34878869
2017-01-01,2.42988601,0.18274285,0.47115554,0.43423497,0.18514095
---------
