title
"Screwdriver Utilization (%): by Node Count"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[8] Screwdriver Utilization (%)","[1] Screwdriver Utilization (%)","[12] Screwdriver Utilization (%)","[6] Screwdriver Utilization (%)","[7] Screwdriver Utilization (%)","[28] Screwdriver Utilization (%)","[2] Screwdriver Utilization (%)","[5] Screwdriver Utilization (%)","[4] Screwdriver Utilization (%)","[20] Screwdriver Utilization (%)","[3] Screwdriver Utilization (%)","[14] Screwdriver Utilization (%)","[16] Screwdriver Utilization (%)","[9] Screwdriver Utilization (%)","[24] Screwdriver Utilization (%)"
2016-12-22,0,0.210550058,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-23,0,0.304480613,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-24,0,0.312499566,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,0,0.405348380,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-26,0,0.783447242,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-27,2.074260706,1.204979630,3.121987847,1.549806424,0,0,1.355920718,0,0,0,0,0,0,0,0
2016-12-28,12.222826389,4.215273322,16.126632234,2.438892940,2.041885706,0,2.315562500,0,0.832937789,0,0,0,0,0,0
2016-12-29,27.554333189,10.455426215,20.999918981,9.063752315,4.512362847,0,4.193086661,1.652485532,2.101022714,1.081448206,0,0.112403646,0,0,0
2016-12-30,28.556736834,28.471575289,20.045781250,13.451095197,12.395079572,7.280432581,2.003280237,3.079448495,1.751791184,0.419616609,0,1.063693576,0.032333333,0.029312500,0.006416667
2016-12-31,16.154207321,31.608861806,7.198375000,3.837171007,4.181167535,5.939164641,2.406587963,3.516439815,1.238982832,0,0.730335069,0,0.006000000,0,0
2017-01-01,4.488390046,11.412012095,0,1.466706019,0,0,2.270776042,1.352719618,0.457176215,0.003611111,0.632071181,0,0.011666667,0,0
---------
