title
"CPU Hours: Per Job: by Job Wall Time"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[0 - 1s] CPU Hours: Per Job","[1 - 30s] CPU Hours: Per Job","[30s - 30min] CPU Hours: Per Job","[30 - 60min] CPU Hours: Per Job","[1 - 5hr] CPU Hours: Per Job","[5 - 10hr] CPU Hours: Per Job","[10 - 18hr] CPU Hours: Per Job","[18+hr] CPU Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,202.12805556
2016-12-23,0,0,0,0,0,0,0,194.86759259
2016-12-24,0,0,0,0,0,0,0,199.99972222
2016-12-25,0,0,0,0,0,0,0,129.71148148
2016-12-26,0,0,0,0,0,0,0,205.12073232
2016-12-27,0,0,0,0,0,0,0,370.31164683
2016-12-28,0,0,0,0,0,0,0,182.19640062
2016-12-29,0,0.02569444,2.04554444,3.63350811,7.12533588,213.35357639,31.47905454,123.85742789
2016-12-30,0,0.04720215,1.02464907,6.60105595,13.24308063,8.02305731,94.50569528,91.31994921
2016-12-31,0,0.04772092,2.05494892,6.77198486,12.42697351,7.75673773,153.82108820,56.92364940
2017-01-01,0.00000000,0.02343898,1.44768420,6.64146891,19.32247568,46.44872685,87.24674917,28.22707615
---------
