title
"Wall Hours: Per Job: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Queue,"Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
barm,69.24940000,0
pikelet,52.33124528,0
brioche,51.98147500,0
roti,42.75259444,0
pita,20.86395000,0
focaccia,19.91284615,2.105664736219258
cornbread,17.78095111,1.1087224152836768
pumpernickel,8.31935000,1.75844938283114
white,7.29609420,0.06698509936166885
chapti,5.97787500,2.150946889427821
crumpet,4.27458824,1.363607497651989
bannock,3.86877778,1.1629123856063905
panettone,3.27560000,1.8974444795467873
brown,2.25963043,0.33056838033141317
croutons,1.96723620,0.1318571301701834
nann,1.15487380,0.018003583430271065
black,0.27209253,0.003272311487360151
potbrood,0.24737765,0.027252557659213007
---------
