title
"Node Hours: Total: by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[1] Node Hours: Total","[2] Node Hours: Total","[3 - 4] Node Hours: Total","[5 - 8] Node Hours: Total","[9 - 16] Node Hours: Total","[17 - 32] Node Hours: Total","[33 - 64] Node Hours: Total","[65 - 128] Node Hours: Total","[129 - 256] Node Hours: Total","[257 - 512] Node Hours: Total"
2016-12-22,0,0,0,0,33.6881,0,0,0,0,0
2016-12-23,8.6036,0,0,0,48.0000,0,0,0,0,0
2016-12-24,24.0000,0,0,0,48.0000,0,0,0,0,0
2016-12-25,24.0000,0,0,0,50.1597,6.3481,0,0,0,0
2016-12-26,24.0000,0,0,0,85.5208,48.0000,0,0,0,0
2016-12-27,31.9381,0,0,70.6758,240.2014,147.8150,30.3978,435.6011,249.7592,0
2016-12-28,2987.8664,0,0,244.3317,494.2714,518.0819,268.6675,2094.1650,2007.1956,0
2016-12-29,16839.4297,3.6200,149.0014,595.0925,1195.9311,1281.6386,561.2403,5180.5358,2721.7639,0
2016-12-30,31160.9739,24.0000,658.8014,4879.7731,4480.2339,754.3353,1060.3881,6312.0486,2394.9336,582.9481
2016-12-31,29035.0731,714.0100,329.7286,4913.5047,6351.6697,752.6272,740.8861,3490.5756,585.7511,475.1331
2017-01-01,12478.2919,17.6294,152.8522,1481.2453,2390.5417,259.1092,367.5961,708.6536,0.8956,0
---------
