title
"Wall Hours: Per Job: by Resource"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[robertson] Wall Hours: Per Job","[pozidriv] Wall Hours: Per Job","[frearson] Wall Hours: Per Job","[mortorq] Wall Hours: Per Job","[phillips] Wall Hours: Per Job"
2016-12-22,0,16.94166667,0,0,16.74638889
2016-12-23,0,16.30180556,0,0,24.00000000
2016-12-24,0,24.00000000,0,0,24.00000000
2016-12-25,0,11.30155556,0,0,24.00000000
2016-12-26,0,24.00000000,0,2.70416667,24.00000000
2016-12-27,10.45685606,12.31516204,8.54972222,23.99988889,13.89986111
2016-12-28,9.43945613,22.27609477,18.47683333,8.77183007,24.00000000
2016-12-29,13.20803309,7.39259785,3.06898538,4.74287420,24.00000000
2016-12-30,5.75245227,0.42482840,0.59709346,0.24654510,0.05436151
2016-12-31,6.68466499,0.49296064,0.50094195,0.34878869,0.03180960
2017-01-01,2.28319331,0.47115554,0.18274285,0.18514095,0.13342896
---------
