title
"Node Hours: Total: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[white] Node Hours: Total","[black] Node Hours: Total","[pikelet] Node Hours: Total","[croutons] Node Hours: Total","[crumpet] Node Hours: Total","[brioche] Node Hours: Total","[brown] Node Hours: Total","[cornbread] Node Hours: Total","[roti] Node Hours: Total","[nann] Node Hours: Total","[focaccia] Node Hours: Total","[pita] Node Hours: Total","[bannock] Node Hours: Total","[barm] Node Hours: Total","[panettone] Node Hours: Total","[chapti] Node Hours: Total","[pumpernickel] Node Hours: Total","[potbrood] Node Hours: Total"
2016-12-22,0,0,0,16.9417,0,0,0,0,0,0,16.7464,0,0,0,0,0,0,0
2016-12-23,0,0,0,24.0000,0,0,0,8.6036,0,0,24.0000,0,0,0,0,0,0,0
2016-12-24,0,0,0,24.0000,0,0,0,24.0000,0,0,24.0000,0,0,0,0,0,0,0
2016-12-25,0,0,0,32.5078,0,0,0,24.0000,0,0,24.0000,0,0,0,0,0,0,0
2016-12-26,0,0,13.5208,96.0000,0,0,0,24.0000,0,0,24.0000,0,0,0,0,0,0,0
2016-12-27,856.4475,8.5497,119.9994,100.8186,30.3978,3.2167,0,43.7467,19.2119,0,24.0000,0,0,0,0,0,0,0
2016-12-28,5778.5600,1941.4606,144.4206,158.9431,191.9994,24.0000,0,119.9997,226.4956,0,24.0000,0,0,0,4.7006,0,0,0
2016-12-29,24097.3489,2741.8794,477.7536,187.1958,191.9994,165.1556,102.7422,181.7853,304.3961,0,24.0000,7.1736,0,3.6200,24.0000,8.8025,10.4008,0
2016-12-30,41307.6708,8302.5733,378.4569,481.0786,195.2583,339.6092,602.9364,293.6794,201.9017,0,24.0000,56.5047,17.4378,24.0000,20.4333,33.0983,17.1686,12.6283
2016-12-31,36475.7136,8110.8489,1112.5964,481.5475,258.4192,356.4492,232.6161,202.4089,17.5414,3.1456,24.0000,50.0147,23.6744,24.0000,0,5.9222,1.4269,8.6342
2017-01-01,15411.4744,780.0375,526.8083,387.9903,183.3097,151.1989,27.1514,23.2497,0,261.3206,26.1206,11.4906,35.5917,17.6294,0,0,4.2811,9.1608
---------
