title
"Wall Hours: Per Job: by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
"Job Size","Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
1,13.31620075,0.07931911153958417
2,7.74754490,0.23273073630024851
"3 - 4",1.76281926,0.17549765810801154
"5 - 8",0.28744097,0.006652424666501227
"9 - 16",0.74433721,0.015228089311589976
"17 - 32",8.28519577,0.5577133783097549
"33 - 64",5.29164851,0.817313039336342
"65 - 128",22.99203495,0
"129 - 256",46.94808571,0
"257 - 512",18.89585000,1.2782038220516754
---------
