title
"CPU Hours: Per Job: by Resource"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[robertson] CPU Hours: Per Job","[frearson] CPU Hours: Per Job","[pozidriv] CPU Hours: Per Job","[phillips] CPU Hours: Per Job","[mortorq] CPU Hours: Per Job"
2016-12-22,0,0,203.29972222,200.95638889,0
2016-12-23,0,0,148.30152778,287.99972222,0
2016-12-24,0,0,155.99972222,287.99972222,0
2016-12-25,0,0,98.05383333,287.99972222,0
2016-12-26,0,0,350.39916667,287.99972222,43.26650000
2016-12-27,490.54088384,136.79500000,181.10166667,265.59069444,383.99866667
2016-12-28,105.79200701,2985.13561111,304.01864379,911.99805556,141.45531046
2016-12-29,77.28987641,442.98224854,89.17077652,911.99805556,71.67300505
2016-12-30,24.31016958,18.39092000,4.48561272,1.82046103,2.20631654
2016-12-31,21.24981325,7.44340019,5.16446481,1.01313936,3.08276439
2017-01-01,7.22704014,2.33995245,3.84811585,3.63382457,1.79785502
---------
