title
"Wall Hours: Per Job: by System Username"
parameters

start,end
2016-12-22,2017-01-01
---------
"System Username","Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
chaff,120.00750000,0
sante,87.43885000,0
ovenb,82.76488000,0
mamwa,72.00720000,0
aytinis,72.00432222,0
siski,70.03530000,0
ferdu,70.00800000,0
meapi,63.57475833,0
garwa,52.33124528,0
lapwi,49.85089578,0
yebsa,49.75941667,0
gloib,48.00700000,0
shttr,46.66084545,0
whtpl,44.13646667,0
misth,39.37914545,0
ybsbu,38.73835000,0
velsc,37.18180000,0
smew1,36.49011429,0
ribgu,31.90970000,0
corsh,27.37690000,0
whtsp,25.49491111,0
moorh,25.48654264,0
yebbu,25.17500000,0
pereg,24.84776667,0
jackd,21.84695000,0
hoowa,21.83599048,0
shag1,20.71646364,0
lesre,18.89795000,0
sposa,16.91415000,0
boowa,16.76540000,0
egygo,15.78248750,0
duswa,15.43750000,2.9494940566042986
field,14.37396667,0
crane,12.67826250,0
evegr,10.08085000,5.736683481374157
pibgr,10.00406200,0
sarwa,9.41402222,1.0834245569313228
noror,9.12111000,1.9524224052907504
legsh,8.59051580,0
grath,7.94699901,0.25270636760637544
sancr,7.43893889,0.629317018782483
litau,7.02768000,1.7557879060123514
whimb,6.17697143,0.6503912196723949
blhbu,5.98691000,0.9781127830854603
henha,5.04208500,1.4127344221195646
rolle,4.58415000,1.057118491556225
yebwa,4.51405000,1.386494831634609
lanhach,3.89088125,1.5421905431228695
caspl,2.10733770,0.047308522370844736
turdo,1.44922454,0.09512739060820748
coot1,0.97185000,0.00047851951362786767
proubis,0.97183611,0.00037868084285168444
categ,0.97148333,0.0005075905675059156
sogsh,0.88155649,0.09909785167735996
vertera,0.81574928,0.3390015672560407
alpsw,0.66013750,0.2379191991153246
swath,0.56853043,0.041637182378459384
litst,0.33321818,0.09324722160395126
reebu,0.29758041,0.026000838980860645
honbu,0.28378821,0.0021294310511137805
allga,0.26060000,0
dunli,0.18926151,0.027954377835160745
crama,0.08050000,0.022331879009996003
relpa,0.06500000,0
savsp,0.02438846,0.001692897033294295
grgsh,0.02076712,0.0006447632527319156
---------
