title
"CPU Hours: Total: by Resource"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[robertson] CPU Hours: Total","[frearson] CPU Hours: Total","[mortorq] CPU Hours: Total","[pozidriv] CPU Hours: Total","[phillips] CPU Hours: Total"
2016-12-22,0,0,0,203.2997,200.9564
2016-12-23,0,0,0,296.6031,287.9997
2016-12-24,0,0,0,311.9994,287.9997
2016-12-25,0,0,0,490.2692,287.9997
2016-12-26,0,0,216.3325,1751.9958,287.9997
2016-12-27,10791.8994,136.7950,1919.9933,2173.2200,531.1814
2016-12-28,42739.9708,29851.3561,2404.7403,5168.3169,1823.9961
2016-12-29,110833.6828,42083.3136,8672.4336,7847.0283,1823.9961
2016-12-30,148413.5853,73913.1075,27506.1483,23365.5567,1920.5864
2016-12-31,103231.5928,64817.1289,26989.6022,24649.9906,2541.9667
2017-01-01,45877.2508,6849.0408,9555.5994,5725.9964,1773.3064
---------
