title
"CPU Hours: Per Job: by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[1] CPU Hours: Per Job","[2] CPU Hours: Per Job","[3 - 4] CPU Hours: Per Job","[5 - 8] CPU Hours: Per Job","[9 - 16] CPU Hours: Per Job","[17 - 32] CPU Hours: Per Job","[33 - 64] CPU Hours: Per Job","[65 - 128] CPU Hours: Per Job","[129 - 256] CPU Hours: Per Job","[257 - 512] CPU Hours: Per Job"
2016-12-22,0,0,0,0,202.12805000,0,0,0,0,0
2016-12-23,8.60360000,0,0,0,287.99955000,0,0,0,0,0
2016-12-24,24.00000000,0,0,0,287.99955000,0,0,0,0,0
2016-12-25,24.00000000,0,0,0,200.63860000,76.17655000,0,0,0,0
2016-12-26,24.00000000,0,0,0,135.04138750,575.99845000,0,0,0,0
2016-12-27,10.64603333,0,0,94.23445000,248.25703571,231.74175385,243.18170000,1306.80327500,2997.10830000,0
2016-12-28,8.78784235,0,0,122.16572500,166.40317857,471.85086250,1074.67030000,1507.06080588,3440.34821111,0
2016-12-29,13.40718917,7.24000000,29.80029000,22.73813942,101.22434639,649.60107647,798.73350000,1664.45785000,4135.80348000,0
2016-12-30,6.90471389,47.99970000,3.61978791,2.18327123,10.24902481,107.33025378,228.24592500,1185.01146364,3432.15951818,3497.68765000
2016-12-31,7.42395111,14.57162959,73.27305556,2.68285029,7.26952425,130.50361884,382.53383333,903.60266667,1041.12191111,5701.59810000
2017-01-01,10.68346909,35.25860000,50.95075833,1.14434614,6.09791659,32.28885699,75.95746250,250.02989412,4.50670000,0
---------
