title
"Wall Hours: Per Job: by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
"Job Size","Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
1,13.31620081,0.07931911153958399
2,7.74754535,0.23273073630024796
"3 - 4",1.76281914,0.17549765810801166
"5 - 8",0.28744098,0.006652424666501231
"9 - 16",0.74433721,0.015228089311589959
"17 - 32",8.28519444,0.557713378309755
"33 - 64",5.29165017,0.817313039336343
"65 - 128",22.99203614,0
"129 - 256",46.94807540,0
"257 - 512",18.89583333,1.278203822051848
---------
