title
"Node Hours: Total: by Resource"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[robertson] Node Hours: Total","[frearson] Node Hours: Total","[mortorq] Node Hours: Total","[pozidriv] Node Hours: Total","[phillips] Node Hours: Total"
2016-12-22,0,0,0,16.9417,16.7464
2016-12-23,0,0,0,32.6036,24.0000
2016-12-24,0,0,0,48.0000,24.0000
2016-12-25,0,0,0,56.5078,24.0000
2016-12-26,0,0,13.5208,120.0000,24.0000
2016-12-27,875.6594,8.5497,119.9994,147.7819,54.3978
2016-12-28,6005.0556,1865.7097,149.1211,378.6936,215.9994
2016-12-29,24412.1458,2635.6100,573.8878,690.6103,215.9994
2016-12-30,41539.3694,5149.1717,3073.6778,2318.1436,228.0733
2016-12-31,36503.3161,5113.7325,3053.6450,2412.5197,305.7458
2017-01-01,15424.9164,534.8883,984.0242,701.0794,211.9067
---------
