title
"Screwdriver Utilization (%): by Job Wall Time"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[0 - 1s] Screwdriver Utilization (%)","[1 - 30s] Screwdriver Utilization (%)","[30s - 30min] Screwdriver Utilization (%)","[30 - 60min] Screwdriver Utilization (%)","[1 - 5hr] Screwdriver Utilization (%)","[5 - 10hr] Screwdriver Utilization (%)","[10 - 18hr] Screwdriver Utilization (%)","[18+hr] Screwdriver Utilization (%)"
2016-12-22,0,0,0,0,0,0,0,0.210550058
2016-12-23,0,0,0,0,0,0,0,0.304480613
2016-12-24,0,0,0,0,0,0,0,0.312499566
2016-12-25,0,0,0,0,0,0,0,0.405348380
2016-12-26,0,0,0,0,0,0,0,0.783447242
2016-12-27,0,0,0,0,0,0,0,3.240226910
2016-12-28,0,0,0,0,0,0,0,17.080912558
2016-12-29,0,0.000053530,0.026634693,0.084214120,0.283900101,0.592648823,1.787092159,34.293025347
2016-12-30,0,0.041646065,3.334805787,6.284755353,8.290720269,2.203554977,5.480017747,37.669479051
2016-12-31,0,0.034388889,6.748794734,8.932318576,5.788898495,3.126934896,3.885584780,21.595409491
2017-01-01,0.000000000,0.044499884,0.794115104,0.927038368,4.782312731,1.161218171,2.294771267,5.457234722
---------
