title
"Node Hours: Per Job: by Node Count"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[28] Node Hours: Per Job","[12] Node Hours: Per Job","[14] Node Hours: Per Job","[8] Node Hours: Per Job","[6] Node Hours: Per Job","[7] Node Hours: Per Job","[5] Node Hours: Per Job","[20] Node Hours: Per Job","[4] Node Hours: Per Job","[3] Node Hours: Per Job","[2] Node Hours: Per Job","[9] Node Hours: Per Job","[1] Node Hours: Per Job","[16] Node Hours: Per Job","[24] Node Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,0,0,0,0,0,16.84402778,0,0
2016-12-23,0,0,0,0,0,0,0,0,0,0,0,0,18.86787037,0,0
2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0
2016-12-25,0,0,0,0,0,0,0,0,0,0,0,0,13.41796296,0,0
2016-12-26,0,0,0,0,0,0,0,0,0,0,0,0,14.32007576,0,0
2016-12-27,0,249.75916667,0,85.50361111,123.98444444,0,0,0,0,0,40.67763889,0,12.03750000,0,0
2016-12-28,0,223.02172840,0,126.22824653,110.33375000,122.51305556,0,0,33.31750000,0,19.84765873,0,9.72248854,0,0
2016-12-29,0,287.99888889,26.97694444,172.02665598,85.90000000,54.14833333,66.09944444,129.77388889,68.01841270,0,44.88027778,0,11.48050746,0,0
2016-12-30,582.43472222,226.16603535,127.64319444,81.37497076,112.40875000,82.63388889,49.27116667,50.35388889,11.92885501,0,4.18476687,2.34500000,1.44640132,1.37777778,0.51333333
2016-12-31,475.13305556,114.23388889,0,70.28059211,54.24805556,50.17400000,93.77166667,0,26.76884921,11.68538889,15.38902222,0,1.40446703,0.48000000,0
2017-01-01,0,0,0,17.64813763,15.34086806,0,54.10888889,0.43333333,2.10343750,10.11311111,2.56511544,0,1.00730848,0.58444444,0
---------
