title
"Node Hours: Per Job: by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[1] Node Hours: Per Job","[2] Node Hours: Per Job","[3 - 4] Node Hours: Per Job","[5 - 8] Node Hours: Per Job","[9 - 16] Node Hours: Per Job","[17 - 32] Node Hours: Per Job","[33 - 64] Node Hours: Per Job","[65 - 128] Node Hours: Per Job","[129 - 256] Node Hours: Per Job","[257 - 512] Node Hours: Per Job"
2016-12-22,0,0,0,0,16.84402778,0,0,0,0,0
2016-12-23,8.60361111,0,0,0,24.00000000,0,0,0,0,0
2016-12-24,24.00000000,0,0,0,24.00000000,0,0,0,0,0
2016-12-25,24.00000000,0,0,0,16.71990741,3.17402778,0,0,0,0
2016-12-26,24.00000000,0,0,0,10.69010417,24.00000000,0,0,0,0
2016-12-27,10.64601852,0,0,11.77930556,17.15724206,11.37038462,30.39777778,108.90027778,249.75916667,0
2016-12-28,8.78784232,0,0,15.27072917,11.76836640,21.58674769,134.33375000,123.18617647,223.02172840,0
2016-12-29,13.40718927,3.62000000,7.45006944,2.86102163,7.20440428,37.69525327,80.17718254,136.32989035,272.17638889,0
2016-12-30,6.90471391,24.00000000,0.90494696,0.27326948,0.81251975,6.33895191,24.09972854,95.63710017,217.72123737,291.47402778
2016-12-31,7.42395118,7.28581633,18.31825617,0.33539281,0.58915404,10.90764090,35.28029101,77.56834568,65.08345679,475.13305556
2017-01-01,10.68346913,17.62944444,12.73768519,0.14319850,0.49147649,2.78612007,7.65825231,20.84275327,0.44777778,0
---------
