title
"Wall Hours: Per Job: by Job Wall Time"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[0 - 1s] Wall Hours: Per Job","[1 - 30s] Wall Hours: Per Job","[30s - 30min] Wall Hours: Per Job","[30 - 60min] Wall Hours: Per Job","[1 - 5hr] Wall Hours: Per Job","[5 - 10hr] Wall Hours: Per Job","[10 - 18hr] Wall Hours: Per Job","[18+hr] Wall Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,16.84402778
2016-12-23,0,0,0,0,0,0,0,18.86787037
2016-12-24,0,0,0,0,0,0,0,24.00000000
2016-12-25,0,0,0,0,0,0,0,13.41796296
2016-12-26,0,0,0,0,0,0,0,14.32007576
2016-12-27,0,0,0,0,0,0,0,12.71861111
2016-12-28,0,0,0,0,0,0,0,10.16471852
2016-12-29,0,0.00319444,0.20377778,0.33372035,0.80682280,5.48680556,5.79705657,14.79698687
2016-12-30,0,0.00615381,0.10523720,0.59942006,1.58562639,4.40070445,7.70470725,15.36432029
2016-12-31,0,0.00600438,0.17799725,0.58708544,1.60662070,5.64633458,9.09936712,13.99885716
2017-01-01,0.00000000,0.00271243,0.11735072,0.61574337,1.86403643,6.32778935,11.52841034,13.14452586
---------
