title
"CPU Hours: Per Job: by Node Count"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[28] CPU Hours: Per Job","[12] CPU Hours: Per Job","[7] CPU Hours: Per Job","[8] CPU Hours: Per Job","[6] CPU Hours: Per Job","[5] CPU Hours: Per Job","[20] CPU Hours: Per Job","[14] CPU Hours: Per Job","[3] CPU Hours: Per Job","[4] CPU Hours: Per Job","[2] CPU Hours: Per Job","[9] CPU Hours: Per Job","[16] CPU Hours: Per Job","[24] CPU Hours: Per Job","[1] CPU Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.12805000
2016-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.86756667
2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.99970000
2016-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.71148333
2016-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.12072727
2016-12-27,0,2997.10830000,0,995.64515000,1487.81420000,0,0,0,0,0,650.84195000,0,0,0,170.11477059
2016-12-28,0,3440.34821111,1960.21030000,1466.73916875,1170.66865000,0,0,0,0,266.54010000,317.56285714,0,0,0,49.10998034
2016-12-29,0,4479.98272222,866.37366000,2034.78152692,966.80025556,793.19305000,1038.19030000,107.90750000,0,576.28051429,731.88420909,0,0,0,30.06952996
2016-12-30,6989.21530000,3498.90000000,1322.14182222,961.91113509,1291.30514000,591.25410000,402.83190000,510.57290000,0,123.05264634,68.68389464,28.14000000,15.52000000,6.16000000,4.76877525
2016-12-31,5701.59810000,1382.08800000,802.78416000,816.21258158,613.94735000,1125.26076667,0,0,140.22434000,254.87645714,184.82594800,0,5.76000000,0,5.14400869
2017-01-01,0,0,0,195.85702045,176.00471250,649.30540000,3.46670000,0,121.35766000,18.28705000,28.31097532,0,5.60000000,0,3.34438355
---------
