title
"Wall Hours: Per Job: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Queue,"Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
barm,69.24944444,0
pikelet,52.33124738,0
brioche,51.98147222,0
roti,42.75259259,0
pita,20.86393519,0
focaccia,19.91284188,2.105664736219278
cornbread,17.78095062,1.1087224152836717
pumpernickel,8.31937500,1.7584493828311252
white,7.29609422,0.06698509936166885
chapti,5.97788194,2.150946889427817
crumpet,4.27459150,1.3636074976519916
bannock,3.86878086,1.1629123856063834
panettone,3.27559259,1.8974444795467849
brown,2.25963164,0.33056838033141317
croutons,1.96723623,0.13185713017018336
nann,1.15487385,0.018003583430275524
black,0.27209253,0.003272311487360147
potbrood,0.24737582,0.027252557659213007
---------
