title
"CPU Hours: Total: by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[1] CPU Hours: Total","[2] CPU Hours: Total","[3 - 4] CPU Hours: Total","[5 - 8] CPU Hours: Total","[9 - 16] CPU Hours: Total","[17 - 32] CPU Hours: Total","[33 - 64] CPU Hours: Total","[65 - 128] CPU Hours: Total","[129 - 256] CPU Hours: Total","[257 - 512] CPU Hours: Total"
2016-12-22,0,0,0,0,404.2561,0,0,0,0,0
2016-12-23,8.6036,0,0,0,575.9992,0,0,0,0,0
2016-12-24,24.0000,0,0,0,575.9992,0,0,0,0,0
2016-12-25,24.0000,0,0,0,601.9158,152.3531,0,0,0,0
2016-12-26,24.0000,0,0,0,1080.3311,1151.9969,0,0,0,0
2016-12-27,31.9381,0,0,565.4067,3475.5986,3012.6428,243.1817,5227.2131,2997.1083,0
2016-12-28,2987.8664,0,0,1954.6517,6988.9336,11324.4206,2149.3406,25620.0336,30963.1339,0
2016-12-29,16839.4297,7.2400,596.0058,4729.5333,16803.2414,22086.4367,5591.1344,63249.3983,41358.0347,0
2016-12-30,31160.9739,47.9997,2635.2056,38986.6744,56513.1228,12772.3003,10042.8208,78210.7567,37753.7547,6995.3753
2016-12-31,29035.0731,1428.0197,1318.9150,39303.7564,78372.7411,9004.7500,8033.2106,40662.1200,9370.0972,5701.5981
2017-01-01,12478.2919,35.2586,611.4092,11837.1164,29660.2661,3002.8636,3645.9583,8501.0164,9.0133,0
---------
