title
"CPU Hours: Total: by Job Wall Time"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[0 - 1s] CPU Hours: Total","[1 - 30s] CPU Hours: Total","[30s - 30min] CPU Hours: Total","[30 - 60min] CPU Hours: Total","[1 - 5hr] CPU Hours: Total","[5 - 10hr] CPU Hours: Total","[10 - 18hr] CPU Hours: Total","[18+hr] CPU Hours: Total"
2016-12-22,0,0,0,0,0,0,0,404.2561
2016-12-23,0,0,0,0,0,0,0,584.6028
2016-12-24,0,0,0,0,0,0,0,599.9992
2016-12-25,0,0,0,0,0,0,0,778.2689
2016-12-26,0,0,0,0,0,0,0,2256.3281
2016-12-27,0,0,0,0,0,0,0,15553.0892
2016-12-28,0,0,0,0,0,0,0,81988.3803
2016-12-29,0,0.0514,102.2772,323.3822,1090.1764,1706.8286,3431.2169,164606.5217
2016-12-30,0,199.9011,16007.0678,24133.4606,31836.3658,6346.2383,15782.4511,180813.4994
2016-12-31,0,165.0667,32394.2147,34300.1033,27786.7128,9005.5725,14920.6456,103657.9656
2017-01-01,0.0000,213.5994,3811.7525,4449.7842,22955.1011,3344.3083,8811.9217,26194.7267
---------
