title
"Wall Hours: Total: by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[1] Wall Hours: Total","[2] Wall Hours: Total","[3 - 4] Wall Hours: Total","[5 - 8] Wall Hours: Total","[9 - 16] Wall Hours: Total","[17 - 32] Wall Hours: Total","[33 - 64] Wall Hours: Total","[65 - 128] Wall Hours: Total","[129 - 256] Wall Hours: Total","[257 - 512] Wall Hours: Total"
2016-12-22,0,0,0,0,33.6881,0,0,0,0,0
2016-12-23,8.6036,0,0,0,48.0000,0,0,0,0,0
2016-12-24,24.0000,0,0,0,48.0000,0,0,0,0,0
2016-12-25,24.0000,0,0,0,50.1597,6.3481,0,0,0,0
2016-12-26,24.0000,0,0,0,85.5208,48.0000,0,0,0,0
2016-12-27,31.9381,0,0,70.6758,240.2014,107.1372,3.7997,59.6161,20.8133,0
2016-12-28,2987.8664,0,0,244.3317,494.2714,373.6508,36.7781,269.9586,167.2664,0
2016-12-29,16839.4297,3.6200,149.0014,595.0925,1195.9311,717.7622,102.3706,678.6142,222.4878,0
2016-12-30,31160.9739,24.0000,658.8014,4879.7731,4476.5683,424.2261,181.2072,838.1750,197.8525,20.8225
2016-12-31,29035.0731,714.0100,329.7286,4913.5047,6337.4133,355.4839,142.8375,428.8386,48.8025,16.9692
2017-01-01,12478.2919,17.6294,152.8522,1481.2453,2366.7639,121.5422,67.4636,92.9772,0.0506,0
---------
