title
"Wall Hours: Per Job: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Queue,"Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
barm,69.24916667,0
pikelet,52.33125262,0
brioche,51.98147222,0
roti,42.75256173,6.325264219699848
pita,20.86393519,0
focaccia,19.91282051,17.10663744555163
cornbread,17.78093827,5.295754579010347
pumpernickel,8.31937500,4.627752624288676
white,7.29609410,0.10650585117544556
chapti,5.97788194,3.288008036902684
crumpet,4.27458333,2.9102802867140016
bannock,3.86878086,1.1629123856063834
panettone,3.27557407,3.086809013270491
brown,2.25963164,0.4522314699576676
croutons,1.96723431,0.2933968740624883
nann,1.15487385,0.018003583430275524
black,0.27209252,0.00526452423699792
potbrood,0.24737582,0.027252557659213007
---------
